_r ( arcsec ),_RAJ2000 ( "h:m:s" ),_DEJ2000 ( "d:m:s" ),RAJ2000 ( deg ),DEJ2000 ( deg ),2MASS,Jmag ( mag ),e_Jmag ( mag ),Hmag ( mag ),e_Hmag ( mag ),Kmag ( mag ),e_Kmag ( mag ),Qflg,Rflg,Bflg,Cflg,Xflg,Aflg
106.616,17 53 42.71304,-34 48 06.7824,268.427971,-34.801884,17534271-3448067,13.767,0.033,12.979,0.047,12.68,0.036,AAA,222,111,000,0,0
106.667,17 53 59.56032,-34 47 52.1016,268.498168,-34.797806,17535956-3447521,14.001,0.045,13.282,0.044,13.118,0.052,AAA,222,111,000,0,0
107.051,17 53 58.23048,-34 46 36.6240,268.492627,-34.77684,17535823-3446366,14.794,0.068,14.029,0.148,13.853,0.097,BCC,222,111,ccc,0,0
107.141,17 53 47.97768,-34 45 55.5372,268.449907,-34.765427,17534797-3445555,14.677,0.109,14.017,0.107,13.758,0.109,BCB,222,111,000,0,0
107.43,17 53 47.03568,-34 46 00.3144,268.445982,-34.766754,17534703-3446003,14.364,0.039,13.636,0.048,13.407,0.048,ABB,222,111,000,0,0
107.818,17 53 50.87856,-34 49 23.8080,268.461994,-34.82328,17535087-3449238,14.312,0.078,13.461,0.101,13.221,0.072,ABA,222,111,ccc,0,0
107.831,17 53 44.31144,-34 48 45.5760,268.434631,-34.81266,17534431-3448455,14.29,0.066,13.444,0.067,13.15,0.059,AAA,222,111,ccc,0,0
108.126,17 53 56.19888,-34 46 08.8860,268.484162,-34.769135,17535619-3446088,14.344,0.049,13.514,0.041,13.28,0.043,ABA,222,221,cc0,0,0
108.228,17 53 57.13176,-34 46 18.4980,268.488049,-34.771805,17535713-3446184,12.987,0.028,12.222,0.033,11.987,0.027,AAA,222,111,000,0,0
108.319,17 53 52.71864,-34 49 22.2312,268.469661,-34.822842,17535271-3449222,13.324,,13.66,0.071,13.378,0.099,UBA,622,021,0cc,0,0
108.352,17 53 42.86472,-34 48 17.2188,268.428603,-34.804783,17534286-3448172,12.013,0.04,11.011,0.044,10.62,0.029,AAA,222,111,000,0,0
108.688,17 53 42.85992,-34 46 54.0804,268.428583,-34.781689,17534285-3446540,14.703,0.035,13.927,0.022,13.623,0.047,BCB,222,111,c0c,0,0
108.712,17 53 54.50184,-34 49 15.7908,268.477091,-34.821053,17535450-3449157,11.067,0.03,10.054,0.035,9.725,0.027,AAA,222,111,00d,0,0
108.733,17 53 53.48592,-34 49 20.3340,268.472858,-34.822315,17535348-3449203,14.239,0.065,13.502,0.091,12.087,,ABU,226,220,cp0,0,0
109.138,17 53 56.98512,-34 48 56.4804,268.487438,-34.815689,17535698-3448564,14.099,0.082,13.292,0.081,12.03,,AAU,226,330,cc0,0,0
109.218,17 53 50.73912,-34 45 46.8288,268.461413,-34.763008,17535073-3445468,13.808,0.022,12.988,0.022,12.705,0.019,AAA,222,111,000,0,0
109.489,17 53 52.49136,-34 45 48.0636,268.468714,-34.763351,17535249-3445480,14.203,0.08,13.452,0.1,13.274,0.073,AEA,222,111,000,0,0
109.533,17 53 53.23680,-34 49 22.0116,268.47182,-34.822781,17535323-3449220,13.592,0.073,12.868,0.095,11.794,,AAU,226,330,cc0,0,0
