Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Flags,Image
577,283.789234,-30.360431,283.788988,-30.360627,70,922,70.766,921.296,1,+115.062,1.0000,+24.2058,D.N.,+14.7393,+0.2284,0,F,435.605881,435.977809,435.602086,435.678162,435.603173,0.000000,0.973783,0.975059,5,10,10,0,15,20,315.84,0.00,556,3.09,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
578,283.694266,-30.360453,283.694272,-30.360426,365,922,364.982,922.096,1,+460.193,1.0000,+33.2591,D.N.,+13.2343,+0.0785,0,F,435.789764,436.046794,435.723382,435.507141,435.725029,0.000000,1.199188,1.142073,5,10,10,0,15,20,315.84,0.00,556,3.41,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
579,283.658855,-30.358499,283.659068,-30.358359,475,929,474.340,929.503,1,+162.118,1.0000,+24.3274,D.N.,+14.3670,+0.1629,0,F,435.415314,434.821817,435.449945,435.444794,435.451141,0.000000,1.021550,0.930864,5,10,10,0,15,20,315.84,0.00,554,14.99,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
580,283.685253,-30.358229,283.685316,-30.357930,393,930,392.804,931.075,1,+253.716,1.0000,+26.1934,D.N.,+13.8807,+0.1121,0,F,435.477417,435.123043,435.445157,435.486572,435.446211,0.000000,0.959100,0.932214,5,10,10,0,15,20,315.84,0.00,549,3.42,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
581,283.670444,-30.358225,283.671751,-30.357284,439,930,434.942,933.391,1,+347.420,1.0000,+29.0491,D.N.,+13.5395,+0.0908,0,F,435.242096,435.107861,435.292510,435.519806,435.293745,0.000000,1.037983,1.000858,5,10,10,0,15,20,315.84,0.00,555,3.36,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
582,283.662718,-30.357667,283.662611,-30.357771,463,932,463.334,931.627,1,+260.488,1.0000,+25.3262,D.N.,+13.8521,+0.1056,0,F,435.266617,435.071547,435.300419,435.475647,435.301295,0.000000,0.874064,0.877588,5,10,10,0,15,20,315.84,0.00,558,3.19,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
583,283.654670,-30.357942,283.654636,-30.357805,488,931,488.108,931.493,1,+434.860,1.0000,+27.8585,D.N.,+13.2957,+0.0696,0,F,435.606445,435.268770,435.714183,435.393951,435.715128,0.000000,0.908201,0.829252,5,10,10,0,15,20,315.84,0.00,553,3.27,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
584,283.776355,-30.357382,283.776509,-30.356950,110,933,109.521,934.555,1,+194.164,1.0000,+27.7094,D.N.,+14.1712,+0.1549,0,F,435.766556,435.686505,435.994781,435.637115,435.997414,0.000000,1.516679,1.073401,5,10,10,0,15,20,315.84,0.00,548,3.50,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
585,283.720985,-30.356842,283.720924,-30.356800,282,935,282.189,935.152,1,+666.424,1.0000,+34.8141,D.N.,+12.8322,+0.0567,0,F,435.584732,435.271216,435.603908,435.682922,435.605069,0.000000,1.006290,1.050275,5,10,10,0,15,20,315.84,0.00,558,3.16,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
586,283.672054,-30.357115,283.671751,-30.357283,434,934,434.940,933.393,1,+350.128,1.0000,+29.0957,D.N.,+13.5310,+0.0902,0,F,435.242096,435.107861,435.292510,435.511230,435.293745,0.000000,1.037983,1.000858,5,10,10,0,15,20,315.84,0.00,555,3.41,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m54_data/aK_asky_980819s0370245.fits
