Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Flags,Image
946,268.510568,-34.753807,268.510350,-34.753907,109,823,109.647,822.641,1,+4269.75,1.0000,+126.710,D.N.,+11.8714,+0.0322,0,F,155.167053,153.471494,157.329343,154.741333,157.465640,0.000000,6.556221,4.866981,5,10,10,0,15,20,315.84,0.00,549,3.42,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
947,268.472702,-34.753267,268.472539,-34.753204,221,825,221.481,825.228,1,+18869.0,1.0000,+815.841,D.N.,+10.2580,+0.0469,0,F,168.834656,160.107397,304.672917,154.807083,648.005531,0.000000,572.451224,35.857316,5,10,10,0,15,20,315.84,0.00,533,19.03,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
948,268.478449,-34.752432,268.478187,-34.752655,204,828,204.775,827.199,1,+408532,1.0000,+679.454,D.N.,+6.9193,+0.0018,0,F,171.429962,164.931561,176.378424,155.054810,177.507996,0.000000,20.011796,10.326407,5,10,10,0,15,20,315.84,0.00,547,1.90,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
949,268.442612,-34.753549,268.442392,-34.752961,310,824,310.652,826.119,1,+3914.63,1.0000,+115.667,D.N.,+11.9657,+0.0321,0,F,155.559158,154.639741,158.073642,154.716034,158.324858,0.000000,8.923468,4.368640,5,10,10,0,15,20,315.84,0.00,554,18.09,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
950,268.442274,-34.752438,268.442375,-34.752960,311,828,310.702,826.122,1,+3853.64,1.0000,+115.403,D.N.,+11.9827,+0.0325,0,F,155.559158,154.639741,158.073642,154.701096,158.324858,0.000000,8.923468,4.368640,5,10,10,0,15,20,315.84,0.00,554,16.49,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
951,268.437879,-34.752438,268.437691,-34.752476,324,828,324.556,827.864,1,+4016.19,1.0000,+164.358,D.N.,+11.9379,+0.0444,0,F,156.313362,154.394607,161.272331,154.731995,161.939429,0.000000,14.697211,6.796395,5,10,10,0,15,20,315.84,0.00,548,4.70,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
952,268.479462,-34.749654,268.478222,-34.752657,201,838,204.671,827.190,1,+408369,1.0000,+679.335,D.N.,+6.9198,+0.0018,0,F,171.429962,164.931561,176.378424,155.032059,177.507996,0.000000,20.011796,10.326407,5,10,10,0,15,20,315.84,0.00,547,17.54,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
953,268.475068,-34.752711,268.478185,-34.752655,214,827,204.782,827.200,1,+408580,1.0000,+679.490,D.N.,+6.9192,+0.0018,0,F,171.429962,164.931561,176.378424,154.901230,177.507996,0.000000,20.011796,10.326407,5,10,10,0,15,20,315.84,0.00,547,13.96,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
954,268.527809,-34.751574,268.527562,-34.751555,58,831,58.729,831.067,1,+14886.4,1.0000,+370.037,D.N.,+10.5154,+0.0270,0,F,159.127518,153.447841,172.316953,154.608185,175.810227,0.000000,34.904599,15.651184,5,10,10,0,15,20,315.84,0.00,547,3.18,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
955,268.397985,-34.751875,268.398161,-34.751749,442,830,441.480,830.455,1,+5154.41,1.0000,+186.132,D.N.,+11.6670,+0.0392,0,F,158.235893,156.324914,161.770870,154.198105,162.077191,0.000000,9.969218,7.675543,5,10,10,0,15,20,315.84,0.00,540,3.87,0,/home/karoki/Documents/etlabs/stellar_clusters_project/data/m7_data/aJ_asky_980815s0140221.fits
